escolas;manha;tarde;noite
ESCOLA MUNICIPAL PAROQUIAL CRISTO REI;1;1;0
ESCOLA MUNICIPAL PAULO VI;2;0;0
ESCOLA MUNICIPAL PEDRO ALCANTARA;1;0;0
ESCOLA MUNICIPAL POETA JOAQUIM CARDOSO;0;1;0
ESCOLA MUNICIPAL POETA JONATAS BRAGA;1;1;0
ESCOLA MUNICIPAL POETA PAULO BANDEIRA DA CRUZ;1;5;0
ESCOLA MUNICIPAL POETA SOLANO TRINDADE;1;1;0
ESCOLA MUNICIPAL PROF JANDIRA BOTELHO PEREIRA DA COSTA;1;2;0
ESCOLA MUNICIPAL PROFESSOR ADERBAL GALVAO;2;1;0
ESCOLA MUNICIPAL PROFESSOR ANTONIO DE BRITO ALVES;1;0;0
ESCOLA MUNICIPAL PROFESSOR ENALDO MANOEL DE SOUZA;0;1;0
ESCOLA MUNICIPAL PROFESSOR JOAO BATISTA LIPPO NETO;2;0;0
ESCOLA MUNICIPAL PROFESSOR JOAO FRANCISCO DE SOUZA;2;2;0
ESCOLA MUNICIPAL PROFESSOR JULIO DE OLIVEIRA;1;0;0
ESCOLA MUNICIPAL PROFESSOR MANOEL TORRES;1;0;0
ESCOLA MUNICIPAL PROFESSOR MOACYR DE ALBUQUERQUE;0;1;0
ESCOLA MUNICIPAL PROFESSOR NILO PEREIRA;0;2;0
ESCOLA MUNICIPAL PROFESSOR ORLANDO PARAHYM;1;0;0
ESCOLA MUNICIPAL PROFESSOR RICARDO GAMA;1;3;0
ESCOLA MUNICIPAL PROFESSORA ALMERINDA UMBELINO DE BARROS;4;8;0
ESCOLA MUNICIPAL PROFESSORA HELIA MARIA PEREIRA;0;1;0
ESCOLA MUNICIPAL PROFESSORA MARIA DA PAZ BRANDAO ALVES;1;2;0
ESCOLA MUNICIPAL REITOR JOAO ALFREDO;2;1;0
ESCOLA MUNICIPAL ROZEMAR DE MACEDO LIMA;5;14;4
ESCOLA MUNICIPAL SANTA CECILIA;1;0;0
ESCOLA MUNICIPAL SANTO AMARO;1;4;0
ESCOLA MUNICIPAL SAO CRISTOVAO;6;10;0
ESCOLA MUNICIPAL SEDE DA SABEDORIA;1;0;0
ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES;2;2;0
ESCOLA MUNICIPAL SEVERINA LIRA;2;2;0
ESCOLA MUNICIPAL SITIO DO BERARDO;0;2;0
ESCOLA MUNICIPAL VILA SANTA LUZIA;3;4;0
ESCOLA MUNICIPAL ZUMBI DOS PALMARES;0;2;1
ESCOLA MUNICIPAL POETA JOAO CABRAL DE MELO NETO;0;1;0
PROFESSOR JULIO DE OLIVEIRA;0;1;0
CRECHE MUNICIPAL CEAPE;1;0;0
ESCOLA MUNICIPAL ANEXO CASA AMARELA;0;1;0
ESCOLA MUNICIPAL PRESBITERO JOSE BEZERRA;0;1;0
